ID,img_path,Question,A,B,C,D,caption
TEST_000,./data/test_input_images/TEST_000.jpg,What types of fruits are visible in the image?,Bananas and grapes placed in baskets,Apples and oranges displayed on the counter,Peaches and plums in a wooden crate,Pears and lemons arranged neatly,there are many apples and oranges in a pile on the table
TEST_001,./data/test_input_images/TEST_001.jpg,What type of cuisine are these dishes most commonly associated with?,"Chinese, famous for dumplings and noodles.","Mexican, featuring tacos and enchiladas.","Italian, known for pasta dishes and pizzas.","Indian, rich in spices and curries.",there is a pot full of dumplings that are cooking on the stove
TEST_002,./data/test_input_images/TEST_002.jpg,What is a common reason people doing this activity?,For attending concerts in open-air settings,For physical exercise and scenic views of the landscape,For shopping opportunities in remote locations,For fishing in mountain streams,araffe sitting on a rock drinking water from a bottle
TEST_003,./data/test_input_images/TEST_003.jpg,"What type of clothing are the people wearing, and what does it suggest about the climate?","Light clothing, suggesting a warm and sunny climate","Swimwear, suggesting a tropical and beach-like climate","Heavy coats, suggesting a cold and possibly snowy climate","Raincoats, suggesting rainy and wet weather conditions",people standing on a dock near a large ship with mountains in the background
TEST_004,./data/test_input_images/TEST_004.jpg,What might the woman have done just before this moment?,Landing from a jump or completing a spin in the air.,Practiced her routine several times to perfect it.,Chatting with other skaters at the boards near the rink.,Sitting down on the ice to take a break and rest.,woman in pink dress skating on ice in front of a crowd
TEST_005,./data/test_input_images/TEST_005.jpg,What is happening or why?,The boats are preparing for a storm approaching the area,The boats are anchored for fishing activities in a quiet spot,The sailboats are racing in a regatta competition,The sailboats are docked at a marina after a long journey,arafed sailboats racing in a line in the ocean
TEST_006,./data/test_input_images/TEST_006.jpg,What is happening or why?,The dolphin is resting peacefully in the water,The dolphin is performing a leap above the ocean waves,The dolphin is hunting for food in the ocean waters,The dolphin is migrating across long ocean distances,dolphin jumping out of the water
TEST_007,./data/test_input_images/TEST_007.jpg,What is happening or why?,The person is repairing the structure to ensure it functions,The person is assembling the structure as part of a construction,The person is cleaning the area to maintain hygiene standards,The person is testing a flight simulator for training purposes,arafed man in a green uniform is inside a large metal structure
TEST_008,./data/test_input_images/TEST_008.jpg,What might have happened earlier before this scene?,A protest march happening earlier near city hall,Riding along a flat path in a nearby park before arriving,Preparing for a competitive race at a sports venue,Participants gathering at a meeting point before the ride,several people riding bicycles down a street with trees in the background
TEST_009,./data/test_input_images/TEST_009.jpg,What causes the sharp pain often felt in the head when eating something like this too quickly?,Freezing of taste buds on the tongue,Sudden brain pressure due to rapid intake,Ice touching the tongue causing a shock,Blood vessel reaction in the palate causing discomfort,woman eating ice cream cone in park with trees in background
TEST_010,./data/test_input_images/TEST_010.jpg,What is happening or why?,A person is enjoying a sunny day outside with sunglasses and a hat.,"A person is waiting for someone in a snowy cafe, looking out the window.",A person is hiking in the mountains with a backpack and hiking boots.,A person is shopping in a busy market with colorful stalls and lots of people.,there is a man sitting at a table looking out a window
TEST_011,./data/test_input_images/TEST_011.jpg,Why are there the object on the wall in this setting?,For decoration to enhance the salon's look,To allow customers to see their haircuts and styles,To improve the lighting and ambiance of the room,To make the room look bigger and more spacious,araffes in a salon getting their hair cut by a hair stylist
TEST_012,./data/test_input_images/TEST_012.jpg,Why is the child airborne in the image?,The child is flying a kite while running around.,The child is jumping on a trampoline for fun.,The child is being lifted by someone standing nearby.,The child is climbing a tree to reach the branches.,there is a young girl jumping on a trampol in the air
TEST_013,./data/test_input_images/TEST_013.jpg,What cultural tradition might this meal represent?,New Year's Eve with fireworks and celebrations,Christmas with festive decorations and gifts,Thanksgiving with a turkey as a main dish,Halloween with costumes and candy treats,there are a lot of people sitting at the table eating
TEST_014,./data/test_input_images/TEST_014.jpg,What is happening or why?,The ice creams are being made fresh from the machine,The ice creams are being thrown away due to melting,The ice creams are being served to customers,The ice creams are slowly melting in the warm air,there are two cones of ice cream and chocolate on top of each other
TEST_015,./data/test_input_images/TEST_015.jpg,What might the landscape look like in the next season?,The flowers would be blooming with vibrant colors,The weather would be hot with sunny days and clear skies,The area would be covered in snow with a white blanket,The trees would be full of leaves and greenery all around,arafed view of a small village with a lot of trees
TEST_016,./data/test_input_images/TEST_016.jpg,What is the vehicle shown in the image?,Bicycle with pedals and two wheels,Tractor with large tires and agricultural equipment,Motorcycle with a sleek frame and two tires,Car with four wheels and a compact design,arafed tractor on a dirt road in a field
TEST_017,./data/test_input_images/TEST_017.jpg,What type of food is shown in the image?,"Tteokbokki, a spicy Korean dish with rice cakes.",A juicy burger with lettuce and tomato.,A variety of sushi with fresh fish and rice.,A cheesy pizza with a crispy crust and toppings.,there is a bowl of soup with carrots and meat in it
TEST_018,./data/test_input_images/TEST_018.jpg,What is a common term for the action performed by the player in the sports?,"Serve, a starting play over the net.","Smash, a forceful overhead hit.","Dig, a defensive move to save the ball.","Set, a two-handed overhead pass.",there is a male volleyball player reaching for the ball
TEST_019,./data/test_input_images/TEST_019.jpg,What activity are the people in the image doing?,Running on a track with athletic shoes,Swimming in a pool with clear water,Engaging in a group cycling session with stationary bikes,Practicing yoga on mats in a serene environment,there are many people riding stationary bikes in a gym
TEST_020,./data/test_input_images/TEST_020.jpg,What likely happened before this rowing race?,Participants took a nap to rest and rejuvenate,Participants played a game to relax before the race,Participants went for a swim to warm up their muscles,Participants had a team meeting to discuss strategies,rowers in a row rowing across a body of water
TEST_021,./data/test_input_images/TEST_021.jpg,What is visually obvious in the image?,A dolphin swimming gracefully through the water,A whale swimming calmly near the surface,A turtle swimming in a kelp forest underwater,A shark swimming swiftly in the ocean,there is a turtle swimming in the water with seaweed
TEST_022,./data/test_input_images/TEST_022.jpg,What is visually obvious in the image?,A steaming cup of coffee sitting quietly on the table.,A plate of freshly baked cookies arranged neatly.,A glass of orange juice filled to the brim on a sunny morning.,A bowl of cereal with milk ready for breakfast.,there is a cup of coffee on a table with steam rising out of it
TEST_023,./data/test_input_images/TEST_023.jpg,What likely happened before this moment?,They mixed the dough ingredients in a large bowl,They went grocery shopping for fresh produce,They watched a movie together on the sofa,They set the table for dinner with plates and cups,woman and child making cookies in kitchen with baking utensils
TEST_024,./data/test_input_images/TEST_024.jpg,Why might these items be placed together?,They are items someone might carry daily for convenience,They are part of a travel kit for long journeys,They are commonly used in the kitchen for cooking,They are used for outdoor sports activities and events,wallet and car key on a wooden table with a key chain
TEST_025,./data/test_input_images/TEST_025.jpg,What environmental issue is threatening the habitat in the image?,Global warming leading to ice melting,Deforestation affecting the polar regions,Rising sea levels impacting coastal ice,Air pollution causing changes in the polar climate,there is a polar bear standing on a large iceberg
TEST_026,./data/test_input_images/TEST_026.jpg,What is a common cultural significance of this?,It signifies wealth in a luxurious setting.,It shows culinary skill and creativity in coffee making.,It indicates a traditional meal from a specific region.,It represents a religious ritual during a ceremony.,someone is pouring milk into a cup of coffee with a heart on it
TEST_027,./data/test_input_images/TEST_027.jpg,What is happening or why?,The person is skiing to compete in a race on a snowy hill.,The person is riding a bicycle for exercise on a scenic trail.,The person is surfing to catch a wave during a sunny day.,The person is hiking to reach the summit of a tall mountain.,surfer riding a wave in the ocean on a bright blue day
TEST_028,./data/test_input_images/TEST_028.jpg,What is visually obvious in the image?,A group of people on camels with pyramids in the background,A beach with umbrellas and sunbathers relaxing,A forest with trees and wildlife roaming freely,A cityscape with skyscrapers and bustling streets,araffes riding on the back of camels in front of the pyramids
TEST_029,./data/test_input_images/TEST_029.jpg,What happens after this scene during a race?,The car is dismantled for parts and analysis,The car is parked in the garage for the night,The car re-enters the race to continue competing,The car is towed away to the repair area,arafed race cars are lined up in a pit area
TEST_030,./data/test_input_images/TEST_030.jpg,Why might the woman be using gloves?,To protect her hands from cleaning chemicals and detergents,To improve her grip on slippery surfaces like countertops,To keep her hands warm in cold environments,To make her hands more visible while cleaning,woman in apron cleaning kitchen counter with spray bottle and sponge
TEST_031,./data/test_input_images/TEST_031.jpg,What likely happened before this scene was prepared?,Planting a garden outside the window,Setting up furniture in a different room,Installing plumbing fixtures such as a toilet and bath,Painting walls blue to match the decor,there is a white bathtub and toilet in a bathroom
TEST_032,./data/test_input_images/TEST_032.jpg,What is visually obvious in the image?,A freight train carrying large containers and cargo,A vintage steam train with a classic appearance and smokestack,A high-speed train with sleek design and aerodynamic shape,A subway train with multiple cars and underground tracks,arafed train on the tracks with a blue and white stripe
TEST_033,./data/test_input_images/TEST_033.jpg,What is happening or why?,A casual dining experience with shared dishes and drinks,A formal banquet with multiple courses and speeches,A birthday celebration with decorations and cake,A cooking class with instructions and ingredients laid out,there is a table with many different foods and drinks on it
TEST_034,./data/test_input_images/TEST_034.jpg,What is happening or why?,The child is riding a scooter in a garden with lush plants,The child is climbing a tree with green leaves,The child is flying a drone above the trees,The child is walking in a park with flowers around,there is a small child riding a scooter in the park
TEST_035,./data/test_input_images/TEST_035.jpg,What might be the next activity after this scene?,Watering the plant by the window,Opening the window for fresh air,Turning on the lights in the room,Checking emails on the laptop,there is a laptop computer sitting on a white desk next to a window
TEST_036,./data/test_input_images/TEST_036.jpg,Why might this environment be better for sustained concentration?,It allows multitasking with various stationery and devices.,It’s easier to avoid distractions from books stacked nearby.,Window glare boosts memory by creating a brighter atmosphere.,Natural light helps maintain alertness and focus on the task.,arafed woman sitting at a desk writing in a notebook
TEST_037,./data/test_input_images/TEST_037.jpg,What likely happened before this moment in the baseball game?,"Standing on the base, celebrating a home run just hit",A foul ball was called by the umpire,A pitch was catched by the catcher behind the plate,Running at full speed from the previous base to make a play,arafed baseball player sliding into base on a baseball field
TEST_038,./data/test_input_images/TEST_038.jpg,What is happening or why?,The coffee machine on the table is being used to brew coffee,The window is being cleaned to let more light in,The wooden table is being moved across the room,The comfortable chairs are being rearranged for a meeting,there is a coffee machine sitting on a table in a room
