ID,Combined_Caption
TEST_000,"a bunch of apples are on a table next to oranges in a glass vase with green leaves sticking out of the top and a wood paneled wall behind them.  a bunch of oranges are on display for sale at a farmers market in the united states of america as they are arranged in a row with red apples and oranges in the foreground of the image, and a wooden wall in the background that looks like it could be used as a display in a grocery or grocery store for fresh produce and a fruit market in an urban location, the market is filled with a variety of fresh fruit, including apples.  a pile of apples and oranges are on a metal table in a grocery store on a sunny day in the middle of the shopping area as a pile of other fruit sits in the foreground, and the focus is focused on the oranges that are slightly turned to the right of the oranges and the apples are dark red with a hint of orange in the middle of the oranges on the bottom and a green stripe going down the middle of the oranges, and in.  a pile of apples and oranges are on a table next to each other in front of a wooden paneled wall in a room that looks like it is made of pine wood.  a pile of apples and oranges are stacked on each other in a pile of oranges, and they are sitting next to each other on a table in front of a wooden paneled wall that is made of wood and has a vase of green plants in the background of the apples and oranges with green stem sticking out of the apples on each side of the oranges in the fore."
TEST_001,"a bowl is filled with dumplings on a hot, sunny day in the middle of the day and there is a lot of sauce on the dumplings as far as the eye can see, but it looks like they are in a sauce or broth that has been put in the pot for about 30 minutes to make it taste a little tasty and is a delicious combination of meaty and flavored with a hint of lemony on the inside and.  a close up of dumplings being cooked in a metal pan is a good example of what looks to be a food preparation or take out to be an entree for a chinese restaurant in the united states or a new york, nyack or some type of dumpling, but not in the united states of new york as it is a very tasty and flavor - like meat or something that looks like a lot of something from the chinese cuisine or chinese cuisine as well as what looks.  a pan is filled with dumplings on a hot, steam - filled stove burner in the foreground and a blurry background to the right of the pan is visible as it ' s time to stir some dumplings, or some of which are not in the pot as they ' re going through a steam that makes it hard to see what is going in and how it looks to be when you put the lid on a hot or broth into the pot and it doesn ' t.  a pot is full of dumpling in the middle of a steaming broth on a black counter tops a window sill can be seen in the background as it is reflected in the pot and smoke is billowing from the bottom of the pot in the foreground, with green and white sauce on top of the dumpling as well as a blue line going down the bottom of the bottom of the pot and in the bottom of the pot is a silver metal handle that is holding.  a pot is full of dumplings on a grill with a blue handle in the bottom of the pot is a light reflecting on the side that appears to be from a dim and blurry light in the bottom to the bottom of the image as if it is reflecting off of the metal or stainless steel pan that the pot is sitting on, or in the pot is an oilless or greased finish to a deep silver tin which is almost as deep in the top and a few spots of."
TEST_002,"a woman drinking water from a water bottle is looking at the camera, she is standing on a mountain with a lot of green trees in the foreground of the photo as the sun goes down on the mountains and the sky is partly cloudy with a blue sky in the background, and there are mountains in the far distance, and a line of pine trees on the far side of the woman is in the foreground with a red and blue hood over her shoulders and a.  a woman is drinking water from a water bottle as she looks at the mountains in the distance and her hair is dark in color, and she is wearing a blue tank top and blue and white shorts with a red and blue stripe on the bottom of her shirt as if she ' s on a high mountain, or a high mountain with snow capped peaks in the far distance as the sun shines on the mountain, and the sky is a pale blue with a hint of cloud.  a woman is drinking water from a water bottle as she sits on a mountain looking at the valley that is covered in green and brown rocks in the foregountment, and a mountain range can be seen in the background as the sun shines on the horizon and is reflecting off the woman ' s left side of her face on a blue t - shirt and red ruanar backpack is hanging over her shoulder and she is wearing a teal short.  a woman is sitting on a mountain looking at a water bottle that is in her hand as she holds it in her hand, and drinks a water bottle on her left hand in the foreground of the image and a mountain range in the background with pine trees on the far side of the image, and the sun peeking through the clear blue sky over the mountains of the area that is covered in green and brown snow - capped mountains can be seen in the distance.  a woman is sitting on a mountain looking at a water bottle that is in her hand as she holds it in her left hand, and a bottle of water in her right hand is on her left hand in the foreground of the image and there is a mountain in the background that looks to be covered in green grass and rocks, and the sun is shining on her face with a blue t - shirt and black leggings that are dark and a pair of brown shoes can be seen."
TEST_003,"a group of people are standing on a dock looking at a cruise ship that is in the water, and the ship has snow capped mountains in the background as well as a blue sky with a few clouds on the horizon of the ship in the foregource of the image of a man in a red coat and black pants, standing on a metal railing in front of the ship, with a group of people in the foreground looking at the ship on the deck of the ship.  a group of people are standing on a dock looking at a cruise ship that is in the water, surrounded by snow capped mountains on a bright blue sky with a cloudless white cloud in the sky.  a group of people are standing on a dock looking at a cruise ship that is in the water, surrounded by snow capped mountains on a bright blue sky with a white metal railing on the side of the ship and a man in a red jacket is standing on the front of the ship and holding a red and black backpack in his hand as he walks up the railing to take a picture of the people getting off the ship and a look of what appears to be a man in the red jacket and black pants.  a group of people are standing outside on a sunny day in a parking lot with mountains in the background, some of which are snowcapped and the rest of the mountains can be seen in the far distance as they are being taken from a large metal barricade in the foreground of a large industrial building with a red and yellow crane on the far side of the building and a blue container is in the foreground, and there are many buildings in the background of the photo, all of.  a man is flying a kite in the blue sky with mountains in the background as the sun goes down on the snow covered mountains of the far eastern region of the country on a clear day with no clouds in sight, a blue sky can be seen to the far left of the man and his kite is flying in the air with a yellow string on the handle of the handle as he is about to catch the yellow fris."
TEST_004,"a girl is dancing on a stage that has lights hanging from the ceiling in the shape of a ball and a red tutu with gold letters on it, and a white net under the skirt is a pink and red one - piece of a dress that looks like a pink tutu, and there ' s a large american flag hanging from the ceiling over the stage and behind the girl is a sign that says hope ' s capmints and it is in gold and red with a gold border on the top.  a woman is skating in a pink dress with gold and red trim around the bust, and arms stretched out in the air as she holds her arms out to the side of the crowd of the figure, and is looking at the camera with a smile on her face and her eyes closed as if she ' s looking to her right of the camera and she is raising her arms in the air to show her support on her skates and her right hand is holding her right hand out to her side and.  a woman is skating on a ice rink in a tutu and holding a pair of white skates in her right hand as she does a trick on the skating rink and there are people in the background looking at the ice skating on the rink and a sign that says fight v frozen time in gold on the wall behind the woman is reflecting in the wet ice and the sun shines on the ground as if it ' s reflecting on the ice.  a woman is skating on a ice rink in a tutu that has a lot of pink on it, and the woman ' s legs are bent and her arms are in the air as she is wearing white ice skates and holding a skateboard in her right hand with her left foot on the ice, and her right hand is on her left knee, and her right leg is in the air with her right leg stretched out as she does a trick in the air, and her right leg is in.  a woman is skating on a ice rink with her arms outstretched in the air as she wears a hot pink tutu and gold beaded dress with a pink net around the bottom and white lace under her skirt, and the words aspects capital written in gold on the back of the dress, and a gold wristband across her left arm with a pair of white ice skates in the foreground of the photo as well as two people in the stands with their arms outstretched to the sides and their backs facing each."
TEST_005,"a bunch of boats are in the water on a sunny day in the blue - green and white sailboats with white sails, one of the sails is a white and blue one, the other is a black and white one of the sails are a dark blue and white, and the sail boats are in a straight line on the water as if they are going straight ahead in the opposite direction of the sailboats are in the same direction as a red flag is on the sailboat and it is a bright blue.  a bunch of boats are in the water on a sunny day in the blue sky with a few people on the sailboats and one of the boats has a red flag on the front of it, and the other boats are green and white on the back of the white sailboats, and there are no people on the front of the sailboats in the water or in the water as far as the boat ' s sails are in.  a bunch of boats are in the water on a sunny day in the blue sky with a few people on the sailboats and one of the boats has a red flag on the top of it as well as white sail on the bottom of the sailboats, and the bottom of the sailboats are dark blue in color and there are a few white waves in the water on the bottom that are small in the middle of the sailboats with a black sailboat under the sail boats on the right.  a bunch of boats are in the water on a sunny day in the middle of the blue sky with a few people on the sailboats in the foreground, one of the sails are green, the other is blue and white in the back there are white sails on the right and the bottom of the sails are a green and white one in the middle of the green and white sails on the left, and a red flag on the right of the sailboats and a white sailboat with blue and white sails is.  a bunch of boats are in the water on a sunny day in the middle of the day there are a few sailboats in the water, one of the boats is a green, one is a blue, the other is a dark green, and white sailboat with a white and black stripe on the front of the boat on the right and a red flag on the back that says i love my boat in the middle of the row of sailboats in the back."
TEST_006,"a dolphin is jumping in the air on a clear day, which is a blue ocean with white puffy clouds in the sky as far as the eye can see.  a dolphin is jumping in the air on a sunny day, which is a blue ocean with waves in the foreground as it splashes from the bottom and a few clouds in the sky above the horizon of the ocean are white in color, and the sun is shining on the top of the dolphin ' s head and it is looking like it has a long tail and a black tail, which is pointed upward to the left as if it is about to jump.  a dolphin is jumping in the air on a sunny day, which is a blue sky with a few puffy wispy clouds in the blue sky as far as the eye can see.  a dolphin is jumping in the air on a sunny day, which is a blue sky with a lot of puffy wispy clouds in the blue sky as far as the eye can see.  a dolphin is jumping in the air on a sunny day, which is a blue sky with a lot of puffy wispy clouds in the blue sky as well as the sun ' s coming from the bottom of the water and it appears to be a bright sunny day, but there is no cloud in the sky, just a bit of sunlight shining on the water, and the water is a deep blue, with a slight amount of white in the water."
TEST_007,"a man in a green uniform is holding a wren in his hand as he stands inside a large, blue and white building on a sunny day with white walls in the background.  a man in a green uniform is looking at something that is in the machine in a white room with ceiling lights in the background.  a man is kneeling down in a space station that is made of metal and has a blue door on the other side of it and there is a black fence in the middle of the room that leads to the space between the two doors of the space station, one of which is in the shape of a spaceship and the other is in the shape of a spaceship on the ground of which is a metal railing with orange and yellow wires going down the side of the space in the center of.  a man is kneeling down in a space station that is made of metal and has a red and yellow sticker on the side of it, and he is wearing a green jumpsuit with orange and black buttons in the center of the body of the suit and holding a wren in his hand as if to pull the seat of the space station into place and it ' s door is open to reveal a blue panel on the wall and white painted walls in the background.  a man is kneeling down in a space suit that has been designed to look like a spaceship, and he is pointing at the camera as if he is about to take a step on how to get into the space suit and what appears to be a computer in the space suit, and the camera is attached to the back of the space suit with a lanyard on one of his legs, and a button on his back, in the other hand, is holding a piece of metal."
TEST_008,a building with a lot of windows on it that is reflecting the sky in the windows and the tree is in front of the building on the other side of the building that ' s a lot of trees and a person is sitting on a bench looking at the building and there is a sign for a business that is on the side of the building in the fore.  a bunch of people are riding bikes on a city street as they are going down the street in the daytime or the day on a sunny day.  a bunch of people are riding bikes on a city street with buildings in the background as well as a street light on a pole with a streetlam in the foreground of the photo.  a bunch of people are riding bikes on a paved road that is surrounded by tall green trees in a public park and a few other people can be seen riding the bikes as they are on a sunny day.  a bunch of people are riding bikes on a paved road with buildings in the background of the photo in the day.
TEST_009,"a woman is eating an ice cream cone in her mouth as she looks at the ice cream she is eating with her eyes closed on a sunny day, and she is wearing a blue t - shirt with a white long sleeve, and black ear studs on her left ear is a blurry tree with green leaves in the background of the photo as if it is blowing in the wind and the sun is shining on her face and her mouth is wide and she.  a woman is eating an ice cream cone in her mouth as she looks to be taking a bite of the ice cream she has on a white t - shirt and her eyes are closed with her mouth wide open to the side of the ice cream cone, which is sticking out of her mouth on a hot dog with a cone on its side of it and trees in the background as far as the eye can see in the blue sky with a cloud of white wispy.  a woman is eating an ice cream cone that is in her hand on a sunny day with her eyes closed as she looks at the ice cream she is taking a bite of and has her mouth wide open, and her hair is dark brown in color and she is wearing a white t - shir and a white short sleeved tshirt with a scoop of ice cream on the top of her mouth and the top of her head is resting on her left hand with her right hand under her chin.  a woman is eating an ice cream cone that is in her hand on a sunny day with trees in the background.  a woman is holding an ice cream cone in her left hand as she licks her tongue with her tongue sticking out of it in the shape of a heart and the word i love is on the upper right hand and a pink manicure under her left nail is in the foreground of her right hand, she has long brown hair and is wearing a white t - shirt with a short - sleeve, but her eyes are closed and her mouth is closed as if she ' s about to take a bite."
