ID,Question_1,Combined_Answer_1,Question_2,Combined_Answer_2,Question_3,Combined_Answer_3,Question_4,Combined_Answer_4,Question_5,Combined_Answer_5,Question_6,Combined_Answer_6
TEST_000,What can you see in the image?,"apples, fruit, fruits",What is the image that contains?,"apples, fruit, fruits, pile",Who is the person in the image?,"no one, vendor",What does the image contain?,"fruit, fruits",Where is the image located?,"kitchen, market",Where does the image appear?,"fruit stand, in fruit shop, in kitchen, kitchen, market"
TEST_001,What can you see in the image?,"dumplings, noodles, pot, wontons",What is the image that contains?,"dumplings, pot",Who is the person in the image?,no one,What does the image contain?,"dumplings, food",Where is the image located?,"in pan, in pot, pan, under spoon",Where does the image appear?,"in pan, in pot"
TEST_002,What can you see in the image?,"mountains, woman",What is the image that contains?,"mountain, mountains, water",Who is the person in the image?,"man, woman",What does the image contain?,"cliff, mountain, mountains, view",Where is the image located?,"cliff, mountains",Where does the image appear?,"cliff, mountains"
TEST_003,What can you see in the image?,"mountain, mountains",What is the image that contains?,"group of people, mountain, mountains, ship",Who is the person in the image?,"captain, group, group of people, passengers, skier",What does the image contain?,"mountains, ship",Where is the image located?,"airport, dock, mountains, near water, on dock",Where does the image appear?,"airport, mountains, near dock, ocean"
TEST_004,What can you see in the image?,"girl, ice, ice skating, woman",What is the image that contains?,"audience, ballet, ice",Who is the person in the image?,"performer, skater",What does the image contain?,"ballet, girl, ice, ice skating",Where is the image located?,"arena, circus, ice, ice rink",Where does the image appear?,"arena, circus, ice rink"
TEST_005,What can you see in the image?,"sail, sailboats",What is the image that contains?,"boats, sail",Who is the person in the image?,man,What does the image contain?,"boats, sail",Where is the image located?,"beach, ocean",Where does the image appear?,"beach, ocean"
TEST_006,What can you see in the image?,"bird, dolphin, sail",What is the image that contains?,"dolphin, water",Who is the person in the image?,"diver, no one, nobody, surfer",What does the image contain?,"dolphin, water",Where is the image located?,ocean,Where does the image appear?,ocean
TEST_007,What can you see in the image?,man,What is the image that contains?,"cockpit, engine, jet, pilot, space shuttle",Who is the person in the image?,pilot,What does the image contain?,"jet, man, pilot",Where is the image located?,"cockpit, hangar, in hangar, in hanger, space, wall",Where does the image appear?,"in cockpit, in hangar, jet, space"
TEST_008,What can you see in the image?,"building, group of people, people, people riding bikes, trees",What is the image that contains?,"bicyclists, people, people riding bikes, street, tree",Who is the person in the image?,"cyclist, no one",What does the image contain?,"bicyclists, building, people, street",Where is the image located?,"city, park, street",Where does the image appear?,"bike lane, city, on street, outside, park"
TEST_009,What can you see in the image?,"girl, ice cream, woman, woman ', woman ' s face",What is the image that contains?,"teeth, tongue, woman '",Who is the person in the image?,woman,What does the image contain?,"donut, ice cream, tongue, woman, woman '",Where is the image located?,"background, field, park",Where does the image appear?,"field, park"
TEST_010,What can you see in the image?,"person, snow, tree, windows",What is the image that contains?,"person, snow, window",Who is the person in the image?,"man, no one, woman",What does the image contain?,"person, snow",Where is the image located?,"outside, restaurant, window",Where does the image appear?,"in living room, in restaurant, near window, outside window, restaurant, window"
