image_path,reference_caption,generated_caption
/home/juneyonglee/Desktop/leejuyong/dacon-scpc/data/stanford_image_paragraph/archive/stanford_img/content/stanford_images/2353881.jpg,"this photograph is of buildings on a crowded street. the street itself is not shown. a church can be seen on the far left, as well as small businesses such as hardware stores. some of the buildings may be residential in nature. the buildings appear to be built on an incline, so this region is likely hilly or mountainous. power lines criss - cross the entirety of the image. a neon yellow pedestrian crossing sign can be seen in the lower right of the image.",a large brown building with a steeple on the top of it is surrounded by wires and wires hanging from the side of it on a sunny day in a city
/home/juneyonglee/Desktop/leejuyong/dacon-scpc/data/stanford_image_paragraph/archive/stanford_img/content/stanford_images/2370485.jpg,"a bike is leaning against a dark colored bench on the right. there are two women walking down the brick sidewalk on a sunny day. the full trees over the sidewalk block out most of the sun, but bits are streaming through and hitting the sidewalk and the bench. the closest woman has on dark shades, and a large white bag on her left shoulder.","a bike is parked on a bench in a park on a sunny day in a black and white photo of a city street in the background, with a person walking on a sidewalk in the background walking in the distance in the distance, and a person walking in the distance walking in the distance in the distance in the distance, and a building in the background, and a large tree in the background, with a few leaves on it, and a few people walking in the background, and a building in"
/home/juneyonglee/Desktop/leejuyong/dacon-scpc/data/stanford_image_paragraph/archive/stanford_img/content/stanford_images/2388602.jpg,a young asian girl is playing wii in a living room. she has on a denim romper with minnie mouse on the chest and has the controller in her right hand. the room has a hardwood floor and two beige couches. little polka dot socks are on her feet and she is smiling. a blue turtleneck is under the romper.,a little girl is standing in a living room holding a white remote in her hand and smiling at the camera as she plays a video game on the wii
/home/juneyonglee/Desktop/leejuyong/dacon-scpc/data/stanford_image_paragraph/archive/stanford_img/content/stanford_images/2412429.jpg,"a man, attached to a snowboard is leaning on the side of a snow wall. there are three people behind the man on the snow wall. the ledge next to the snow wall is small. the man on the snowboard is giving a thumbs up with his right hand. his back pack is resting on the snow wall. all of the people in the background are on skis. they are all holding ski poles.",a man is standing on a snow covered hill with his snowboard on his feet and his arms are crossed and his feet are on the snow and his skis are on the ground and his pants are black and white and his jacket is red and black and his pants are brown and black and white and his jacket is black and white and his pants are brown and black and white and black and white and black and white and black and white and black and white and black and white and black and white
/home/juneyonglee/Desktop/leejuyong/dacon-scpc/data/stanford_image_paragraph/archive/stanford_img/content/stanford_images/2356500.jpg,there is a white train with a black and an orange stripe at the bottom in an underground subway station. the train has a small display on the side with red lights in that display the letter u. there is no smoking sign on the side of the train as well. one the ground there is a yellow line running parallel to the train. there window on the side of the train and in the first window there is a person wearing a black jacket.,"a train is on the tracks in a station, with a red and black sign on the side of the train that reads 4 on it and a person sitting in a chair in the window of the train on the platform of the train, as well as a yellow line on the platform of the platform of the train, and a yellow line on the platform of the platform of the train, with a no entry sign on the side of the train, and a red and white sign with the word al"
/home/juneyonglee/Desktop/leejuyong/dacon-scpc/data/stanford_image_paragraph/archive/stanford_img/content/stanford_images/2411887.jpg,a medical jet is flying in the air in front of a mountain range. the mountains have snow on it. the jet is silver in color and there are medical cross symbols on the wings and tail. the symbol has a white cross on top of a red circle. the cockpit of the plane is covered in glass for the pilot to see. there are engines under the wings of the jet.,"a white jet is flying in the sky above a mountain range of snow covered mountains in the background of this image, the jet is a fighter jet with a red and white tail and a red emblem on the tail of the jet, and the word air force on the side of the jet, and the word air force written below the jet, is a red and white arrow on the side of the jet, and the word air force written below the jet, is a red and white stripe on the"
/home/juneyonglee/Desktop/leejuyong/dacon-scpc/data/stanford_image_paragraph/archive/stanford_img/content/stanford_images/2373063.jpg,"a young woman with a blue tank top, black helmet, and white pants is holding a bat preparing to his a baseball. the woman is standing on a dirt surface at a baseball field. there is another woman at the pitchers mount looking towards the woman with the bat, and another in the distance standing and watching. the sun is setting giving everything a reddish tint.","a young girl is standing on a baseball field, holding a bat in her hands and wearing a blue and white uniform with a white and blue logo on the back of it and a black helmet on her head and a black baseball glove on her hand and a white glove on her hand and a black glove on her hand and a white glove on her hand and a black glove on her hand and a white glove on her hand and a black glove on her hand and a white glove on her hand and"
/home/juneyonglee/Desktop/leejuyong/dacon-scpc/data/stanford_image_paragraph/archive/stanford_img/content/stanford_images/2359419.jpg,"a woman is standing on a tennis court playing tennis. she is wearing a blue visor and blue outfit. she is holding a racket in her hands, preparing to hit a green ball that is soaring towards her. a man is standing at the back of the court near a wall. he is wearing a blue cap, blue jacket and brown pants. the court is blue with white markings on it. a black and white net is seen sitting on the court.",a woman is playing tennis on a blue tennis court on a sunny day in front of a blue wall with white writing on it and a white logo on the wall in the back of it on the wall is a white chair with a black seat on it and a black tennis racket in front of the woman on the court in front of it is a yellow tennis ball in the air with a shadow on the court in front of it and a shadow on the court behind her on the court is a
/home/juneyonglee/Desktop/leejuyong/dacon-scpc/data/stanford_image_paragraph/archive/stanford_img/content/stanford_images/2395951.jpg,this image is of food on a plate. the sandwich is on a light tan colored biscuit type bread and has rib meat inside. the sandwich is on a white tray along with salad. tomatoes and lettuce are in the salad. the white dish is plastic and is on a desk top. on the wooden desk top is a black computer keyboard.,"a sandwich is sitting on a white napkin on a table in a room of a brown table, with a black keyboard in the background on the table, and a white plate of food on the table in front of the sandwich, with lettuce, tomato slices and a piece of meat in between the meat, and a piece of meat in between the lettuce, and tomato slices, sits on the napkin on the table, and the sandwich is sitting on a white napkin that is folded on"
/home/juneyonglee/Desktop/leejuyong/dacon-scpc/data/stanford_image_paragraph/archive/stanford_img/content/stanford_images/2378344.jpg,"a barefooted man has his right foot raise to step onto a skateboard. he is wearing a hooded sweatshirt, shorts, a beanie and sunglasses. the bodies ( but not the heads ) of two men can be seen about to pass the behind the man. the man in the white t - shirt is holding a bottle in his left hand. a sandwich board advertisement is in front of the building behind the people.",a young man is walking on a sidewalk with his foot on a skateboard and wearing a gray hoodie and tan shorts with a red logo on the bottom of the hoodie and a pair of black sunglasses on his face and a pair of black pants with a white stripe on the bottom of the shorts is visible in the image of a man in a white shirt and black pants walking behind him with a skateboard in the background of him and another man in a white shirt and black pants walking behind
/home/juneyonglee/Desktop/leejuyong/dacon-scpc/data/stanford_image_paragraph/archive/stanford_img/content/stanford_images/2324417.jpg,a man in a light pink shirt sits near the fender of a custom motorcycle. the front wheel of the motorcycle is attached by a series of rods. a row of red antique truck are behind the motorcycle. a man in a red cap is in the far back ground. there are also several vintage motor vehicles in the background. the vehicles are parked on a grassy field. the sky is blue and free of clouds.,"a red truck is parked on the grass with a motorcycle on it in front of it on a sunny day in a field of grass with a few people standing around it in the background of the photo, a man in a blue shirt and sunglasses is standing in front of the truck with a motorcycle attached to the front of it and a red cap on his head and sunglasses on his face, and a red baseball cap on his head, and a pair of sunglasses on his face, and a pair of"
/home/juneyonglee/Desktop/leejuyong/dacon-scpc/data/stanford_image_paragraph/archive/stanford_img/content/stanford_images/2379769.jpg,"a statue of a man flying a kite is on a railing on a bridge. the man, and the kite string are metal and dark while the kite is lighter. a brick chimney can be seen near the rail.",a statue of a man is holding a kite in his hands and is standing on a wire bridge that is attached to a building with wires attached to it and wires are attached to the structure of the statue of a man flying a kite in the sky and the sky is blue and cloudy and there are no clouds in the sky as the sun sets on the horizon of the day as the sky is blue and white in color as the sky above the statue of a man in the middle of the
/home/juneyonglee/Desktop/leejuyong/dacon-scpc/data/stanford_image_paragraph/archive/stanford_img/content/stanford_images/2382736.jpg,"the image is of a man playing tennis. he is standing on a tennis court which is blue. the area outside the court is a lighter blue. it is probably an indoor court since there is no ground showing. there is a black net separating the two sides of the court. the words "" atp world tour "" are written in white on the bottom of the net. the man is standing in the middle of the court. he is facing his opponent. he is holding a tennis racket","a man is standing on a tennis court playing tennis on a sunny day, he is wearing a blue shirt, white shorts and white shoes with white socks on the legs and a black wristband on his wrist and a black wristband on his wrist and a black wristband on his wrist and a black wristband on his wrist and a black wristband on his wrist and a black wristband on his wrist and a black wristband on his wrist and a black wristband on his wrist and a"
/home/juneyonglee/Desktop/leejuyong/dacon-scpc/data/stanford_image_paragraph/archive/stanford_img/content/stanford_images/2347505.jpg,there is a brown box on top of a table. there is food inside of the box. there is a can behind the box on the table. there is a straw in paper next to the box.,a yellow styrofoam container is sitting on a wooden table with a white napkin under it on top of it and a white napkin under it on the bottom of the container is a hot dog in a bun with cheese on top of it and a can of soda on the other side of the container and a can of soda on the other side of the table with a metal holder on it on the table next to the container and a can of soda on the table behind it
